Area,Price,Region,HouseType,Description
65,120000,Region_A,Apartment,"Căn hộ đẹp gần trung tâm, đầy đủ nội thất."
80,250000,Region_B,Villa,"Biệt thự rộng rãi, khu vực yên tĩnh, gần công viên."
45,90000,Region_C,Townhouse,"Nhà phố nhỏ nhưng tiện nghi, gần chợ và trường học."
120,350000,Region_A,Villa,"Nhà biệt thự sang trọng, có gara và sân vườn."
55,100000,Region_B,Apartment,"Căn hộ giá rẻ, gần siêu thị và bến xe."
75,180000,Region_C,Townhouse,"Nhà phố mới xây, thiết kế hiện đại."
90,220000,Region_A,Villa,"Biệt thự mini, vị trí đẹp, đường lớn."
40,85000,Region_B,Apartment,Căn hộ studio phù hợp người trẻ.
110,300000,Region_C,Villa,"Biệt thự rộng, thoáng mát, gần hồ."
60,130000,Region_A,Townhouse,"Nhà phố 2 tầng, gần khu trung tâm thương mại."
85,210000,Region_B,Villa,"Nhà đẹp, nội thất cao cấp."
50,95000,Region_C,Apartment,"Căn hộ nhỏ gọn, giá tốt."
95,200000,Region_A,Townhouse,"Nhà phố mới cải tạo, gần trường học."
70,150000,Region_B,Apartment,"Căn hộ 2 phòng ngủ, view đẹp."
130,400000,Region_C,Villa,"Biệt thự lớn, khu dân cư cao cấp."
48,88000,Region_A,Apartment,"Căn hộ mini, gần khu vui chơi."
78,170000,Region_B,Townhouse,"Nhà phố đẹp, tiện ích đầy đủ."
115,330000,Region_C,Villa,"Biệt thự hiện đại, sân rộng."
68,160000,Region_A,Apartment,"Căn hộ ấm cúng, thiết kế tối giản."
82,240000,Region_B,Townhouse,"Nhà phố 3 tầng, mặt tiền rộng."
